,"(TS, TS, TS, TS)","(TS, TS, EF, EF)","(EF, EF, EF, EF)"
1967,8.550548394,-33.17019376,-18.22891878
1968,15.70402384,11.21343413,-28.80538644
1969,30.05110484,63.20739081,25.76203335
1970,-27.57934034,24.44855999,5.403221956
1971,7.659400696,26.56048266,6.250801587
1972,-29.21427064,-30.21427064,-29.35303144
1973,5.26688039,54.92456001,11.66781972
1974,19.27713789,-14.78095988,-12.33128955
1975,22.68056657,29.30471274,-11.0487424
1976,24.32765571,28.92751297,15.31980537
1977,-14.08194937,30.79449169,6.372085593
1978,0.874701643,36.08083918,37.28198104
1979,23.05322317,1.587092257,-6.628045086
1980,7.333415294,3.090862755,33.75773103
1981,-26.20257542,12.38236782,24.38236782
1982,-37.12038787,5.697848932,36.27383561
1983,-19.96962417,0.272625952,33.57566542
1984,-27.58133746,-7.15197732,17.07517443
1985,1.2656728,16.26994884,17.54222414
1986,33.56270275,84.36325485,-9.268313686
1987,-17.98161351,18.87710677,19.30508667
1988,49.45061669,42.50142557,64.89532851
1989,86.05574192,36.05574192,79.07537218
1990,-2.856973308,11.09609342,-26.39898711
1991,52.22175,-37.34260461,4.806339884
1992,-24.68457538,10.63670619,-54.24414819
1993,26.62080379,15.40162564,4.150799039
1994,-40.47217896,32.06696028,7.38837804
1995,60.23024018,-6.558290187,2.410645032
1996,-5.014964379,-3.239839265,-23.26823098
1997,2.797897681,10.18585046,-11.55821912
1998,43.94222823,22.12824802,-7.009157316
1999,-4.327167879,36.3537423,21.24788034
2000,-18.60521541,40.70605615,53.24690386
2001,12.19483992,0.043241795,-1.50774727
2002,40.67625178,29.41664012,-14.16067249
2003,-15.3113733,35.10650917,270.6215674
2004,25.69461416,25.75286367,-18.54654481
2005,60.00859159,75.83900658,-7.576200914
2006,16.71983622,42.54390797,-8.405252534
2007,2.566334655,11.74919424,-2.720329167
2008,37.69630596,18.91419394,-19.48644491
2009,24.63066121,3.074514576,9.838907533
2010,14.64885405,-23.76303622,-26.32112611
2011,-2.805485613,38.70165426,11.37166678
2012,14.65617035,-6.950294284,21.02712995
2013,-9.891863572,35.42111615,25.82747987
2014,-4.171086703,-15.42120412,18.31410381
2015,2.318038452,37.62127077,34.94707885
2016,-8.385465085,-22.13878271,39.08422557
2017,15.78638207,18.06059524,-4.641749018
2018,25.97862087,21.022667,10.04299598
2019,-7.751198077,350.1436996,39.35288578
2020,-5.034375523,0.824769723,76.23331727
2021,27.19119779,41.0803903,14.9136667
2022,32.13449538,-12.86148603,52.17976726
2023,-5.652042979,23.00300882,-10.61020257
2024,-35.63307457,-38.61302599,20.43841184
2025,43.45160595,7.736811386,-10.51407909
2026,31.31163825,-23.75984816,20.41714663
2027,-2.11383773,37.07186499,17.58624325
2028,36.51927943,25.00694831,47.44705983
2029,-11.3416702,4.138055724,38.75841886
2030,-1.941121612,-3.088981982,765.670885
2031,-2.678007863,21.74695654,28.40955062
2032,-0.653715903,19.89160133,15.52374058
2033,3.984174562,-16.23679629,4.01109202
2034,-11.48663194,25.55720257,-22.21083421
2035,-10.96049135,-0.353313465,20.9740383
2036,-27.86139523,-1.195377492,9.834807552
2037,18.08791499,-35.42801003,41.02421494
2038,-9.536419318,-13.10482236,18.75131199
2039,37.81037,0.943715526,-21.98970316
2040,23.73596657,40.76983895,-47.60611464
2041,-4.746711366,13.96425867,-44.68763923
2042,-8.982068233,-11.96513205,-82.17314752
2043,6.73766581,-41.43371671,-34.37146954
2044,5.264026989,-34.35664699,3.363001366
2045,38.38396838,-10.41515251,32.66432002
2046,-22.39740708,-11.29847593,34.27282243
2047,-33.05676512,-13.4236931,2.961080946
2048,24.23362787,30.60763043,-2.058149626
2049,9.80377533,24.97960601,-7.787628239
2050,-24.68696438,6.683567704,-32.39232275
2051,10.48038607,27.2669765,42.50965841
2052,32.39577798,34.95221123,-14.71708851
2053,12.77532734,26.39681995,-7.303034664
2054,26.84527002,-43.51400483,-11.01560405
2055,46.50406331,18.53854594,14.14199445
2056,48.85544549,23.53378794,-28.89978739
2057,10.14852146,28.73467338,41.63040564
2058,57.83129107,1.289020829,41.91140439
2059,20.57168701,-31.2434143,9.328032554
2060,10.69805393,-0.82534912,-5.255139977
2061,66.59735772,-36.9396565,4.323790987
2062,-10.90676108,-2.292969822,10.27520008
2063,1.116251748,-22.75992776,-25.91786392
2064,20.92743064,38.67136127,281.7139625
2065,39.92746934,23.56195736,-11.98659467
2066,16.2495098,7.639798804,39.11529018
2067,12.68986295,18.50082199,25.78158258
2068,26.76909436,5.194525096,-33.91174114
2069,32.33298085,-14.82195551,12.48020853
2070,-30.14589265,-11.46505715,16.87536059
