,EFEFEFEF,TSTSTSTS,TSTSEFEF,EGEDEFTS
,-24.78452777,-40.20460475,6.317656275,61.52137511
,15.51257511,30.97943395,7.314480967,35.39161732
,41.71128997,22.35232425,-1.884440591,13.88304806
,-3.966596118,-42.27792746,-24.90492451,-4.904710465
,18.44363303,-5.802542191,7.017395564,57.1335528
,6.168924327,-40.53958794,-9.057004696,27.57446226
,-2.236384864,8.045017494,-1.833803917,-21.81138173
,-0.053963147,-27.96557871,-9.408366563,21.0342678
,11.54395479,17.93473716,4.982248017,5.984243395
,-10.19750658,-39.49844138,9.764799232,-14.55957707
,-44.55286858,-39.62539651,-7.104995907,18.21337166
,16.62345171,32.74882611,0.281269206,-3.355897148
,22.85174913,-4.617130792,-6.289566952,-21.33524392
,10.73418225,-55.52109381,13.9062348,-3.268746399
,28.01293437,38.38911199,66.71335041,0.920612877
,1.28403692,-0.801166658,-26.96864481,42.23213247
,-6.083309281,-1.856850753,-44.29506579,25.78693851
,-13.33907335,55.14596015,-8.453092017,48.63041826
,24.87584321,-4.200085798,4.368144698,10.16789426
,27.13457617,14.31472065,17.36519287,21.71473629
,-12.87387606,27.46053731,-16.92871568,29.54138928
,-19.26665686,18.97212994,7.071284323,6.539540606
,-5.457910544,19.18140031,-9.634807127,-13.47764857
,60.34902745,33.57033742,24.51449264,-5.518714164
,0.888023924,46.12188088,-38.60347621,3.883579093
,-10.52675891,-14.58580772,8.164410327,2.01385475
,-12.09834367,42.92417948,15.77172956,17.83633178
,1.324540475,-27.59527889,-17.6528058,38.48357469
,6.996995144,3.219739219,-2.420474469,-14.45156607
,20.53116386,12.99884381,-14.71043478,58.64966159
,-10.67849189,-20.02400572,18.14549276,37.93360896
,17.57746839,-1.269074353,-4.560768356,6.312725114
,5.098995655,2.343422482,2.173405679,-23.86878625
,6.496942476,46.98428093,28.39691136,-30.292095
,-46.88042855,13.30125991,3.599080346,-26.85155816
,-35.17922344,-13.83590006,12.25406648,-2.190380815
,-8.813315036,28.53281156,-5.059360684,-18.08261046
,3.335257905,23.20061821,33.34520622,-12.26581321
,-15.01276757,-1.942494253,-23.66796722,4.30854258
,29.14514801,-1.984798581,-1.356834764,34.23331602
,6.163595169,7.015201419,-19.87815667,36.38800803
,2.855298405,32.04771279,-30.11342274,-4.285670984
,45.99965555,-3.775002425,-20.80760317,22.11031286
,11.84171343,42.51827915,26.057544,17.36834906
,5.073032456,-0.323356094,19.4667084,-12.68526349
,-18.11305906,1.036726854,10.37311296,25.53336785
,-4.042250227,6.867667476,-21.90215367,-8.838740296
,-21.48043916,-11.22388197,36.64775642,41.30517807
,-4.868086727,-28.85401165,15.63994267,15.82780405
,-15.28349298,27.26637532,-6.517392517,-11.80133386
,60.20633806,3.527685126,32.52355704,15.30570338
,40.29229524,-6.365829071,-2.777893061,-13.05121109
,25.39248859,14.56955759,15.18583244,6.742244347
,-28.57669499,19.19540293,15.00305692,-14.8567223
,-41.38608376,-32.62490729,-16.29907289,9.93673314
,9.144153138,14.81311045,-21.14560496,-3.170131478
,3.671179196,85.16223461,11.07048685,-15.52796024
,0.029804839,12.27124265,-3.565812634,7.083684352
,-43.59839876,18.31715487,-44.80641012,4.337500183
,78.27518333,20.14488169,10.0214452,-10.72441986
,10.14908295,21.10561129,73.48185213,-27.81462023
,15.78723571,-9.972929499,56.02690337,-26.40871856
,32.60856004,14.21487422,-36.92406306,3.757762142
,-5.318937692,8.032199451,36.23570886,32.80223671
,4.521506334,-6.066727568,2.664280956,-16.82345498
,29.99950556,-4.297549273,-0.637309739,14.18719259
,28.02678287,-19.20912508,41.17221584,19.44927555
,10.38365451,9.156793177,24.81727211,-10.73367221
,9.339506083,-14.10866308,16.20990653,-6.548398974
,-41.13645051,33.99315253,1.080407927,3.549935812
,7.780812717,-1.741391214,3.302996759,2.892886738
,-23.6740134,-8.932729647,19.62701799,29.12163684
,0.163601486,-50.0353798,37.28148668,10.30963849
,42.18054291,28.36738225,-14.71510714,0.233708719
,-10.73111525,42.36850127,-0.348724236,36.5886756
,12.48567709,30.08802268,11.3432577,24.3713735
,-17.02467612,4.637897128,35.88804618,26.48555143
,30.03850411,9.801562223,29.84931418,30.96709665
,18.59266615,5.240550478,-5.935193022,7.225172421
,-25.64578425,54.10826264,-12.07914,28.03094811
,-36.50284239,-1.755237248,26.18027094,1.703582306
,36.0247998,21.90973118,-13.41356477,59.55169073
,7.045440244,6.832159485,-15.57700043,-18.24156465
,5.703995402,60.46113131,3.900957465,-17.14446743
,4.115210457,11.10041478,22.76296739,-3.216926604
,-37.78020832,1.586770192,-4.148533937,3.971653397
,-22.41372106,-4.90915136,6.820117724,-4.580980328
,-15.2634828,19.52854787,17.47286394,12.39168473
,-9.774128755,48.87965084,31.19702549,29.66695853
,-17.34995687,33.30979811,70.10953117,-34.67370578
,11.80588226,30.14987143,-4.807482751,28.04688633
,16.12263059,-2.766139118,4.474109261,-9.244395318
,16.95108599,0.444562999,3.74850478,-7.058820095
,-1.48816485,-29.39850766,-23.26800628,-0.756967299
,30.22914119,-0.531155497,1.661638256,-9.965103683
,3.449741905,19.16220542,-17.06354731,-0.447405718
,-18.55821434,-14.32992237,31.03669428,-4.280452359
,1.597770443,-9.773269092,11.1702138,7.317980351
,3.252722318,-13.57714849,-19.21020912,-22.10084212
,30.2731452,-50.63472884,5.4217203,-12.62813552
,14.1883074,29.98614311,-8.338507438,-19.24023745
,-20.39765679,4.822769737,-37.89731409,10.70667811
,25.16533339,-9.848105173,-7.775155127,13.01673173
,50.87545435,5.942346109,27.54875696,3.200464603
,64.86195895,24.89714882,67.81993457,-7.713319526
,-16.89424982,0.178989148,26.69080238,56.27286424
,-10.35800154,42.91518012,39.96197998,-16.7063279
,19.17012949,18.87829298,2.669372739,-13.62506081
,15.8843006,6.523463834,-9.141293829,3.452770185
