,TS,EG,EF,ED,
118,18.00885112,-17.6334626,23.0455134,32.42196905,
119,111.2157228,17.78529882,-33.08826021,22.50067909,
120,33.0828408,5.798699114,-9.464047088,40.22809583,
121,-25.7631708,-16.07014255,-39.92727943,-7.876938284,
122,6.110282478,-13.43992957,-20.91279737,-20.92485613,
123,-11.66687005,-17.24224671,-2.859459784,11.71753442,
124,22.45992714,-4.787587906,17.05202089,44.05182409,
125,20.96178739,47.60407787,25.56160074,58.4544947,
126,28.83512915,37.79549769,-32.87924002,-24.74959087,
127,9.764736643,11.87279236,-40.94797911,-2.376506608,
128,-5.166241114,-19.97004389,3.290933313,13.83375889,
129,9.279378168,-13.34370573,-38.61650343,17.52158781,
130,20.58830237,32.33736275,14.01344215,34.63873306,
131,-31.16624111,37.83375889,-23.06485086,0.623607194,
132,25.3048801,39.11304109,-11.72634714,23.81634734,
133,9.824422031,-14.63748004,24.39574629,13.37416786,
134,0.358969609,43.38450752,-9.917534031,42.24718391,
135,-7.799554074,25.41058146,56.16514642,5.014538815,
136,0.603643645,-20.31899358,-1.219720964,35.78724975,
137,-6.534697818,39.3783215,10.86579508,42.95537619,
138,23.34963986,-34.98433871,1.338690557,35.05201119,
139,-30.23697538,-20.22106466,-32.08505693,-26.63349119,
140,31.47323021,14.26585424,1.517824445,4.908291064,
141,2.643306467,43.6949039,-10.41005594,26.62945279,
142,-54.55547984,34.61398393,19.20948481,24.04894341,
143,-9.674494529,-5.60745251,16.41853382,48.66464675,
144,36.48628578,17.5225203,5.225146899,-3.964832618,
145,18.86033672,10.51548356,-17.50764746,4.774997173,
146,34.56671944,39.40222636,-4.788122045,-30.28094131,
147,-9.962718,-21.88017266,44.79714265,-5.600211094,
148,-3.528799409,17.80708093,-9.141190729,-16.7358571,
149,15.11224689,20.51691148,-11.11295853,-8.464808841,
150,-5.793936068,7.922460844,0.600629481,30.22674203,
151,29.83626587,-17.39159809,-3.847326002,35.03538578,
152,11.89995591,13.58315717,-25.94990779,6.438278722,
153,32.66378066,16.01710733,28.48107595,29.17627411,
154,11.52726004,15.87367366,-49.76508618,23.06157222,
155,-17.41980538,13.30180853,12.44248285,30.25644186,
156,-20.83434815,-17.33078092,6.691721733,18.35871643,
157,-20.07389366,-33.01258025,-8.858471051,37.56669146,
158,-9.417107653,-4.975505638,4.356050227,9.877653896,
159,16.46738702,23.51223859,14.10158097,0.374713649,
160,23.36030813,37.91536783,-9.48230955,7.602055257,
161,-21.02286299,55.0429559,-19.13042345,40.79189819,
162,-35.81044365,62.18453317,6.726857123,-17.79168214,
163,52.39065408,7.623035421,31.20831786,-32.42019305,
164,54.16997094,18.23403917,-13.75514252,-39.51290018,
165,53.13540358,-24.32598037,9.344667507,-3.238405016,
166,31.24500018,-15.3756526,9.436597172,-42.13381766,
167,26.97694496,-4.178492298,67.53620499,8.502379391,
168,0.664738571,5.181010889,-8.45786586,10.05079598,
169,54.03261438,3.395691004,-20.86821106,11.69989101,
170,12.84905763,-21.16468353,11.75177963,16.34030017,
171,15.417541,38.77476296,-5.533604741,3.636040923,
172,-7.106240219,-17.38314006,-34.54500727,-4.7639608,
173,63.44617117,1.97195387,-15.76373112,35.48891501,
174,-6.100980137,51.95961849,-12.29000825,46.62714378,
175,-21.94193168,17.74504537,62.77695572,-16.6660124,
176,-19.92494175,-24.92783549,37.23508393,-1.933603912,
177,20.66977001,7.626146786,67.0399195,-19.06986857,
178,35.97359298,-9.857103792,-14.03700473,25.27857213,
179,-5.933603912,-7.482077743,35.30036183,19.05837467,
180,-17.2979994,9.071623269,-0.58643386,-19.87071472,
181,54.61770652,-27.40503207,2.693588872,-11.2247257,
182,-2.957352328,0.535230739,7.969727538,5.599071128,
183,-10.76249988,15.40493147,-43.06615543,3.135887048,
